united_airlines_atlantic_operations,column_b,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A,Sum of Pax Rev (000),1103895,1188588,1461725,1566074,1671073,1916004,1680954,1513551,1330572,1594297,1752724,1891233,2349367,2566369,2207124,2777733,2908331.7800000003,5598990,5912698,6081693.550000001,5923327.71
A,Sum of Total Rev (000),1285806,1411618,1745057,1846367,1973406,2259621,2081382,1882611,1761295,2027726,2178048,2323475,2760066,3045488,2545343,3197001,3483182.01,6464567,7132308.49,7320420.12,7067634.84
A,Sum of RPM,11157498000,11237956000,13423768000,14888689000,16994339000,18074430000,17807167000,16008364168,14720986220,16021187663,16097060492,15847157632,17059641839,18404221530,17938137495,18727597068,18512611558,38027555347,38297623893,37945009345,37632598616
A,Sum of ASM,14263041000,14256321000,17019708000,19500903000,22133939000,23468617000,24010676000,20475270268,18428921563,19475591216,19556909374,19095236405,20397953740,22636526868,22042984766,22913239116,23282864017,47707734242,47111080933,47164257254,47389032205
A,Sum of AC Op Expense (000),476699,519177,574686,591382,662933,852877,1032794,923178,839501,951156,1099221,1153134,1288624,1981389,1245481,1566689.8,1813815.1800000002,4220105,3796568.8000000003,3791088.63,2964762.78
Latin America Operations,,,,,,,,,,,,,,,,,,,,,,
L,Sum of Pax Rev (000),588402,643950,711580,710851,663605,689251,569611,401712,349536,357219,411011,491651,497652,525504,339535,484121,678233.32,2616328,2617588.58,2786902.98,2692597.91
L,Sum of Total Rev (000),686086,750480,824070,832000,786972,816362,679022,489105,432330,419212,493741,584974,577110,607472,396640,555342,778911.62,3177132,3260682.98,3492832.33,3367097.74
L,Sum of RPM,5033558000,5307647000,5416180000,5877960000,5699466000,5663978000,4981811000,3987245977,3737055173,3452976019,4017118420,4533466191,4034338627,3810684022,3079403782,3354513560,4284017040,15681292779,15811741896,16985085519,18119163177
L,Sum of ASM,7991537000,8331913000,8300381000,9708359000,8990978000,8121349000,7332497000,6110716510,5083422609,4442892456,5161462271,5638858331,5062462514,4918298837,4007882870,4220765774,5517868941,19560154375,19537826633,20607416355,22273553286
L,Sum of AC Op Expense (000),265880,307453,306172,305189,292776,336441,347595,284306,231663,213819,282244,330482,317982,415638,237911,297950.14,432112.12,1597631,1573968.7200000002,1656387.22,1440167.5000000002
Pacific Operations,,,,,,,,,,,,,,,,,,,,,,
P,Sum of Pax Rev (000),2874067,2921892,2966118,2330038,2144387,2539430,2092150,1940710,1634020,2255338,2630874,2865307,3237293,3121748,2224695,3064175,3242591.87,5000722,4749900.5600000005,4709167.38,4377655.85
P,Sum of Total Rev (000),3336841,3437753,3552197,2842568,2691247,3161480,2662524,2482524,2121928,2768170,3267343,3508742,3798873,3703318,2629128,3575548,3844901.8400000003,5887253,5794170.43,5767273.8100000005,5498207.17
P,Sum of RPM,26103304000,27545211000,27527837000,24910072000,22207228000,24649137000,23216258000,22187298480,18980920022,23122117725,25823141259,26153582565,26431090055,23944778481,21412334556,23123627259,22984722732,31785991057,31540126523,31797209613,32656722442
P,Sum of ASM,35970643000,37402209000,38424729000,34820329000,30707011000,33874860000,32671016000,27857883572,24326834860,28055840062,31683092091,31554795739,32467875844,30908606380,27353674093,27256518599,27858554001,38406503897,37921470176,39016819722,39932479927
P,Sum of AC Op Expense (000),1264714,1383538,1456572,1364835,1170785,1448488,1483770,1391658,1137523,1311352,1773727,1924338,1991898,2603510,1487333,1772599.74,2155731.52,2908262,3222414.64,3282784.0199999996,2757669.9499999997
Domestic Operations,,,,,,,,,,,,,,,,,,,,,,
D,Sum of Pax Rev (000),8461034,9492562,9929198,10594618,10961898,11458187,9123274,7662693,7304669,7746814,7665623,8641593,8761399,8514094,6490722,7120800,7330240.470000001,12625053,12572832.280000001,13037548.09,13166819.26
D,Sum of Total Rev (000),9586028,10716898,11213861,11996610,12515076,13093817,10664441,9061361,9082176,10486061,11365022,12916668,12913045,12880970,10788127,12354429,13048222.24,21631211,22099971.830000002,22319992.31,21931192.47
D,Sum of RPM,69517332000,72607437000,75059581000,78933586000,80565024000,78546329000,70630952000,67246782422,66955206212,72635350380,68333832480,70936985195,69874212105,63902055994,58045815334,57318304795,53854828974,93903064060,92911672966,92261976418,95216376295
D,Sum of ASM,100344625000,102854285000,105366196000,109979250000,114855630000,110027704000,100836219000,94363480056,88726803719,93413480222,83892565687,86796231576,83967902507,77395871932,69333528160,67521211424,62313988401,110624972049,108406788898,107272835663,110361296643
D,Sum of AC Op Expense (000),4093692,4522705,4780156,4734974,5009754,5633874,5654208,5025728,4211462,4599706,4612998,5237581,5454412,6708812,4106804,4595991.510000001,5000239.629999999,8800452,8564978.680000002,8266109.100000001,6714054.259999999
International Operations,,,,,,,,,,,,,,,,,,,,,,
I,Sum of Pax Rev (000),4566364,4754430,5139423,4606963,4479065,5144685,4342715,3855973,3314128,4206854,4794609,5248191,6084312,6213621,4771354,6326029,6829156.970000001,13216040,13280187.14,13577763.91,12993581.47
I,Sum of Total Rev (000),5308733,5599851,6121324,5520935,5451625,6237463,5422928,4854240,4315553,5215108,5939132,6417191,7136049,7356278,5571111,7327891,8106995.470000001,15528952,16187161.9,16580526.26,15932939.75
