column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Small Narrowbodies,2086.825877340509,2243.532228080893,2334.4597242739687,2311.363195238198,2339.992228374304,2646.3128983448664,2937.5502559917904,2785.7485701378637,2398.712679596481,2428.1108931348886,2790.927046870862,3186.917887635712,3375.055773152981,4409.3964423285415,3087.0448233596576,3759.2167024238743,4401.86562307472,4665.110487820608,4717.30994377979,4831.989377425973,3783.754200295198
(Ex Fuel),1584.7982957730687,1645.7144155647788,1756.7589916748138,1822.048351269167,1881.058056011451,1976.895398572549,2210.0051649332513,2206.4678573445303,1700.5686347770315,1519.6131122510023,1484.0556957770807,1634.968904817118,1770.3565288724844,1773.6175900111261,1803.075108994151,1982.0293489668763,2149.8374565049494,2173.1636146344863,2397.2893387650447,2624.4971714905564,2349.4404264673553
Pilots,523.2909519004372,548.6600365504167,576.4818874441721,594.5558455002265,597.0051368150436,670.058206882888,850.1837507966505,904.6207336059954,634.3304755073457,528.3347988172311,462.6055251180892,462.3368820491198,467.9837911122054,515.5460029218737,581.2312848121887,565.7029512150293,531.6721536232136,615.4965930344434,785.2210245557403,913.9358931582835,925.1067581572088
Salaries and Wages,388.0372239040251,409.9546135068735,444.0713735049766,438.5024477560439,437.3966037667791,483.58607444665114,552.6904026690878,568.4438098464865,370.5306924916633,326.98205905868457,291.5551187593001,292.76272794350166,295.8433814604126,324.9654316043409,354.000589576901,357.5436773297009,366.69836779674256,413.8992612208743,528.1583695709722,615.3541487069779,648.8904468800049
Pilot Training,25.325709160219755,19.566971078674293,20.533449331788603,19.010114516163817,20.753027900792084,20.102385315823867,25.45963226015607,23.021990432629092,11.297770016603495,8.824238787149067,10.905370147599553,8.625487509223147,10.486965478165416,9.399522973912857,13.398910834251314,6.95070314875285,6.629365774927761,4.065720148413922,12.906966927520429,14.905527633638954,22.02322331438621
Benefits and Payroll Taxes,69.74055387375266,76.14932357257163,66.91072282255251,90.61657572947443,88.73589753259083,114.99893748072687,210.86371808824293,259.3324217710123,213.11516352745372,157.70537506575687,123.69453050961572,120.61768736165278,117.82192801473379,134.65856377943052,167.49569453710455,155.7849551760921,115.19241949619499,172.5489525078083,189.40342758696679,198.0706500816018,205.77418898973085
Per Diem/ Personnel,40.18746496243973,42.98912839229732,44.96634178485445,46.42670749854429,50.11960761488152,51.37080963968614,61.16999777916379,53.82251155586748,39.386849471625204,34.82312590564056,36.450505701573846,40.33097923474228,43.83151615889355,46.52248456418939,46.33608986393186,45.423615560483505,43.15200055534826,24.982659157346923,54.752260470280845,85.60556673606466,48.418898973086705
Purchased Goods,562.8173562058527,692.7116790904872,665.3671394177968,571.5197653604779,543.7309705842328,768.6767720504705,796.1663772205171,652.2067068399442,769.7668517493611,980.7762063654543,1384.0045353065746,1633.3519553072626,1680.5335300132135,2725.50857308061,1356.9019285370734,1858.1267917968555,2334.893034717945,2583.389381218189,2409.8302375729577,2297.195676690878,1537.636183776654
Fuel/Oil,502.0275815674403,597.8178125161143,577.700732599155,489.314843969031,458.93417236285296,669.4174997723173,727.545091058539,579.2807127933335,698.1440448194495,908.4977808838862,1306.8713510937812,1551.9489828185938,1604.6992442804967,2635.7788523174154,1283.9697143655067,1777.187353456998,2252.0281665697707,2491.9468731861216,2320.0206050147453,2207.492205935416,1434.3137738278429
Insurance,6.711963224576746,4.762391701254968,3.617773604896054,2.208371972654144,2.0043908045600096,2.2776259005450004,6.180901999858752,16.645087647120512,9.436619999720278,5.853073053264484,5.234109674859788,4.375461157373247,3.761932766875209,1.9491006292810602,3.040975594619335,4.130550168594235,3.297675346875732,9.460795217481149,1.5799610507985158,1.6092233412796304,2.1095531199949753
